STATE_FIPS,CNTY_FIPS,STCOFIPS,TRACT,FIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,CAG1V1P,CAG1V2P,CAG1V3P,CAG1V4P,CAG1TP,CAG2V1P,CAG2V2P,CAG2V3P,CAG2V4P,CAG2TP,CAG3V1P,CAG3V2P,CAG3TP,CAG4V1P,CAG4V2P,CAG4V3P,CAG4V4P,CAG4V5P,CAG4TP,RPL_THEMES,CAG1V1F,CAG1V2F,CAG1V3F,CAG1V4F,CAG1TF,CAG2V1F,CAG2V2F,CAG2V3F,CAG2V4F,CAG2TF,CAG3V1F,CAG3V2F,CAG3TF,CAG4V1F,CAG4V2F,CAG4V3F,CAG4V4F,CAG4V5F,CAG4TF,CATF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
06,037,06037,231800,06037231800,California,CA,Los Angeles,0.4616,0.1097,8886.0,0.6928,0.0505,0.36122661,0.22295719,0.16509433,0.99168399,0.30350194,0.26381129,0.00496585,0.5872,0.4228,0.0,0.9836,0.8078,0.9351,0.972,0.975,0.1427,0.8902,0.7041,0.8535,0.791,0.9835,0.9302,0.9738,0.7977,0.5872,0.9742,0.9835,0.0,0.8665,0.968,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,5772.0,1611.0,2631.0,224.0,1911.0,292.0,2085.0,1146.0,245.0,5724.0,1560.0,425.0,8.0,868.0,625.0,0.0
06,037,06037,231900,06037231900,California,CA,Los Angeles,0.4629,0.1434,6962.0,0.672,0.0471,0.37097833,0.2523191,0.23246217,0.98752462,0.36363636,0.093125,0.0,0.589,0.3589,0.00640183,0.9842,0.9039,0.9861,0.962,0.99,0.1196,0.914,0.8412,0.9677,0.9056,0.9755,0.9667,0.9864,0.5205,0.0,0.9748,0.9742,0.5997,0.7828,0.979,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,10.0,6092.0,1600.0,2808.0,305.0,2043.0,287.0,2260.0,1360.0,338.0,6016.0,1960.0,149.0,0.0,850.0,518.0,39.0
06,037,06037,232110,06037232110,California,CA,Los Angeles,0.3923,0.1751,8863.0,0.6608,0.0781,0.35270132,0.25786646,0.20433017,0.98742779,0.31082118,0.0533769,0.00871459,0.4464,0.2812,0.0,0.9596,0.9511,0.9361,0.955,0.987,0.3461,0.8628,0.8615,0.9361,0.9556,0.9749,0.9351,0.9721,0.4142,0.6507,0.9076,0.9425,0.0,0.7212,0.974,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,2943.0,918.0,1142.0,196.0,1015.0,230.0,1038.0,672.0,151.0,2906.0,810.0,49.0,8.0,346.0,218.0,0.0
06,037,06037,232120,06037232120,California,CA,Los Angeles,0.3829,0.1139,8599.0,0.6434,0.0596,0.35697399,0.24053524,0.22336065,0.9893617,0.28100522,0.11392405,0.01752677,0.4243,0.3379,0.0,0.9546,0.824,0.9436,0.947,0.971,0.2045,0.8759,0.7927,0.9594,0.902,0.9795,0.9132,0.9647,0.5698,0.7058,0.8926,0.9677,0.0,0.8046,0.975,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3384.0,1027.0,1289.0,136.0,1157.0,202.0,1208.0,737.0,218.0,3348.0,861.0,117.0,18.0,398.0,317.0,0.0
06,037,06037,232200,06037232200,California,CA,Los Angeles,0.3515,0.1771,9462.0,0.4508,0.075,0.3163017,0.23583111,0.20823529,0.98296836,0.12019779,0.09263657,0.0,0.3103,0.2428,0.01946472,0.9346,0.9533,0.9152,0.835,0.965,0.3232,0.7232,0.7721,0.9435,0.8705,0.9683,0.6837,0.838,0.5189,0.0,0.8108,0.9206,0.7867,0.7702,0.925,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2877.0,842.0,989.0,215.0,757.0,216.0,910.0,620.0,177.0,2828.0,316.0,78.0,0.0,239.0,187.0,56.0
06,037,06037,232300,06037232300,California,CA,Los Angeles,0.2509,0.2426,8967.0,0.5067,0.1106,0.34429153,0.29469273,0.12146596,0.99770642,0.15837988,0.01585903,0.01057268,0.3942,0.2278,0.01274209,0.8356,0.9856,0.9327,0.87,0.963,0.5835,0.8316,0.9492,0.6955,0.9665,0.995,0.758,0.8874,0.2713,0.6714,0.8753,0.9091,0.7164,0.8969,0.987,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3924.0,1135.0,968.0,332.0,1089.0,434.0,1351.0,1055.0,116.0,3915.0,567.0,18.0,12.0,410.0,237.0,50.0
06,037,06037,232400,06037232400,California,CA,Los Angeles,0.3062,0.1425,12229.0,0.3789,0.1068,0.32422243,0.28303868,0.21055465,0.99732956,0.1167644,0.08684985,0.00883218,0.3188,0.1944,0.01649387,0.8993,0.902,0.8181,0.77,0.915,0.558,0.7539,0.9307,0.9471,0.9869,0.9947,0.6744,0.8464,0.5049,0.6525,0.8186,0.8766,0.7567,0.9357,0.982,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6366.0,2038.0,1902.0,331.0,1371.0,680.0,2064.0,1617.0,391.0,6349.0,677.0,177.0,18.0,587.0,358.0,105.0
06,037,06037,232500,06037232500,California,CA,Los Angeles,0.2838,0.1753,11460.0,0.4582,0.0936,0.35396563,0.21915668,0.22093918,0.97811249,0.12493492,0.04945054,0.00480769,0.3407,0.2816,0.00964932,0.8776,0.9516,0.846,0.841,0.941,0.4649,0.8665,0.6791,0.9565,0.9449,0.9584,0.6943,0.8388,0.4031,0.5813,0.8376,0.9428,0.67,0.8942,0.971,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4249.0,1456.0,1192.0,239.0,1044.0,398.0,1504.0,842.0,287.0,4156.0,480.0,72.0,7.0,444.0,367.0,41.0
06,037,06037,232600,06037232600,California,CA,Los Angeles,0.3041,0.1619,11344.0,0.5889,0.0879,0.34871794,0.29671665,0.16170763,0.98443223,0.19071747,0.06549971,0.01693958,0.3708,0.1877,0.0014652,0.8975,0.9324,0.8514,0.921,0.958,0.4233,0.8469,0.9525,0.8436,0.9677,0.9705,0.8092,0.9026,0.449,0.703,0.8601,0.8678,0.3748,0.8402,0.98,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5460.0,1771.0,1624.0,313.0,1719.0,480.0,1904.0,1464.0,250.0,5375.0,941.0,116.0,30.0,573.0,290.0,8.0
06,037,06037,232700,06037232700,California,CA,Los Angeles,0.3947,0.1574,7691.0,0.5933,0.0691,0.37537928,0.26037916,0.20808761,0.98612917,0.26301895,0.11465451,0.0045558,0.4399,0.269,0.00628521,0.9604,0.9266,0.9691,0.922,0.985,0.2788,0.9265,0.8707,0.9429,0.9586,0.9729,0.8965,0.9532,0.5715,0.5752,0.9029,0.9344,0.5957,0.93,0.998,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,4614.0,1317.0,1805.0,231.0,1420.0,319.0,1732.0,1085.0,247.0,4550.0,1096.0,151.0,6.0,520.0,318.0,29.0
